population,family,individual,individulal_code,location_code,x_coord,y_coord,block,previous_damage,current_damage,total_damage
U,i,1,U_i_1,579,19,3,1,0,0,0
R,d,20,R_d_20,580,19,4,1,18,1,19
L,g,12,L_g_12,581,19,5,1,15,3,18
A,h,19,A_h_19,582,19,6,1,36,2,38
U,d,19,U_d_19,583,19,7,1,19,0,19
I,f,23,I_f_23,584,19,8,1,16,0,16
C,g,12,C_g_12,585,19,1,2,0,0,0
D,e,27,D_e_27,586,19,2,2,0,1,1
G,d,11,G_d_11,587,19,3,2,3,0,3
R,b,1,R_b_1,588,19,4,2,15,2,17
A,i,27,A_i_27,589,19,5,2,2,0,2
G,b,1,G_b_1,590,19,6,2,0,1,1
P,c,18,P_c_18,591,19,7,2,1,0,1
P,g,20,P_g_20,592,19,8,2,12,0,12
L,g,4,L_g_4,593,19,1,3,0,7,7
L,c,18,L_c_18,594,19,2,3,0,6,6
M,f,30,M_f_30,595,19,3,3,6,1,7
D,e,23,D_e_23,596,19,4,3,12,0,12
F,c,20,F_c_20,597,19,5,3,16,0,16
Q,g,12,Q_g_12,598,19,6,3,28,0,28
E,f,23,E_f_23,599,19,7,3,81,2,83
G,e,23,G_e_23,600,19,8,3,27,0,27
F,c,12,F_c_12,601,19,1,4,0,0,0
S,b,30,S_b_30,602,19,2,4,1,0,1
S,a,12,S_a_12,603,19,3,4,0,0,0
E,g,4,E_g_4,604,19,4,4,4,0,4
I,a,19,I_a_19,605,19,5,4,2,0,2
Q,c,4,Q_c_4,606,19,6,4,3,1,4
C,d,27,C_d_27,607,19,7,4,0,0,0
R,f,23,R_f_23,608,19,8,4,1,0,1
D,c,19,D_c_19,609,20,1,1,2,5,7
R,a,19,R_a_19,610,20,2,1,1,0,1
P,g,12,P_g_12,611,20,3,1,31,0,31
S,a,19,S_a_19,612,20,4,1,29,0,29
O,h,1,O_h_1,613,20,5,1,23,0,23
Q,a,18,Q_a_18,614,20,6,1,2,0,2
A,j,11,A_j_11,615,20,7,1,0,0,0
J,e,30,J_e_30,616,20,8,1,0,0,0
K,c,12,K_c_12,617,20,1,2,0,0,0
M,f,23,M_f_23,618,20,2,2,0,1,1
H,c,20,H_c_20,619,20,3,2,1,0,1
D,d,19,D_d_19,620,20,4,2,5,0,5
U,e,27,U_e_27,621,20,5,2,1,0,1
F,i,1,F_i_1,622,20,6,2,14,0,14
D,c,20,D_c_20,623,20,7,2,9,0,9
F,f,30,F_f_30,624,20,8,2,2,4,6
O,b,1,O_b_1,625,20,1,3,2,1,3
P,f,27,P_f_27,626,20,2,3,4,3,7
A,j,NA,A_j_NA,627,20,3,3,0,0,0
L,b,30,L_b_30,628,20,4,3,42,0,42
I,b,27,I_b_27,629,20,5,3,10,1,11
J,e,27,J_e_27,630,20,6,3,25,0,25
L,h,11,L_h_11,631,20,7,3,13,0,13
K,i,1,K_i_1,632,20,8,3,74,0,74
L,j,11,L_j_11,633,20,1,4,0,0,0
Q,f,23,Q_f_23,634,20,2,4,2,0,2
R,b,27,R_b_27,635,20,3,4,4,0,4
N,i,27,N_i_27,636,20,4,4,2,0,2
I,j,12,I_j_12,637,20,5,4,0,0,0
B,a,19,B_a_19,638,20,6,4,1,0,1
E,j,12,E_j_12,639,20,7,4,8,0,8
E,i,27,E_i_27,640,20,8,4,8,0,8
O,a,11,O_a_11,641,21,1,1,0,0,0
H,c,12,H_c_12,642,21,2,1,3,0,3
O,c,18,O_c_18,643,21,3,1,1,4,5
L,h,4,L_h_4,644,21,4,1,0,1,1
B,h,1,B_h_1,645,21,5,1,1,0,1
F,e,19,F_e_19,646,21,6,1,9,0,9
B,a,11,B_a_11,647,21,7,1,3,0,3
H,g,23,H_g_23,648,21,8,1,7,0,7
T,i,27,T_i_27,649,21,1,2,5,2,7
B,d,11,B_d_11,650,21,2,2,0,0,0
J,c,4,J_c_4,651,21,3,2,2,2,4
H,g,4,H_g_4,652,21,4,2,12,1,13
R,c,18,R_c_18,653,21,5,2,0,0,0
C,a,19,C_a_19,654,21,6,2,5,1,6
J,g,12,J_g_12,655,21,7,2,3,0,3
K,e,23,K_e_23,656,21,8,2,28,0,28
G,c,12,G_c_12,657,21,1,3,1,8,9
B,g,4,B_g_4,658,21,2,3,0,14,14
U,b,4,U_b_4,659,21,3,3,7,19,26
P,i,27,P_i_27,660,21,4,3,54,22,76
F,g,23,F_g_23,661,21,5,3,12,6,18
F,j,12,F_j_12,662,21,6,3,29,0,29
C,d,23,C_d_23,663,21,7,3,3,0,3
F,b,30,F_b_30,664,21,8,3,49,15,64
D,a,11,D_a_11,665,21,1,4,3,0,3
N,b,27,N_b_27,666,21,2,4,1,1,2
E,b,30,E_b_30,667,21,3,4,1,0,1
O,b,27,O_b_27,668,21,4,4,0,0,0
H,f,23,H_f_23,669,21,5,4,16,0,16
J,f,23,J_f_23,670,21,6,4,0,0,0
H,d,19,H_d_19,671,21,7,4,0,0,0
B,d,20,B_d_20,672,21,8,4,0,0,0
