,GBIF.common.name,LPI.common.name,species,Common.Name,id,Units,n,intercept,slope,intercept_SE,slope_SE,intercept_p,slope_p,meanpop,row,downloader,data.available,geographic.range,species.LPI,species.GBIF,maxlat,minlat,maxlong,minlong,countoccur,lengthlat,lengthlong,range
1,Arctic / Mountain hare,Arctic / Mountain hare,Lepus timidus,Arctic / Mountain hare,4903,Unknown,22,-17.11559475,0.00878671,13.85840165,0.006971842,0.2298459,0.220760566,69.33333333,1,Gergana,yes,partWorld,Lepus timidus,Lepus timidus,71.71013221,-37.15553,170.41,-111.2,13946,108.8656622,281.61,30657.65913
2,Arctic jaeger / Parasitic jaeger / Arctic skua,Arctic jaeger / Parasitic jaeger / Arctic skua,Stercorarius parasiticus,Arctic jaeger / Parasitic jaeger / Arctic skua,12087,Number of apparently occupied territories,38,-32.34574798,0.016510648,5.757715677,0.00289371,1.90E-06,1.44E-06,21.725,2,Gergana,yes,World,Stercorarius parasiticus,Stercorarius parasiticus,81.8167,-68.825,179.173,-179.478,153281,150.6417,358.651,54027.79635
3,Arctic jaeger / Parasitic jaeger / Arctic skua,Arctic jaeger / Parasitic jaeger / Arctic skua,Stercorarius parasiticus,Arctic jaeger / Parasitic jaeger / Arctic skua,12101,Number of apparently occupied territories,17,54.97403509,-0.027476383,20.35885647,0.010277021,0.015167072,0.016034621,108.3157895,2,Gergana,yes,World,Stercorarius parasiticus,Stercorarius parasiticus,81.8167,-68.825,179.173,-179.478,153281,150.6417,358.651,54027.79635
4,Arctic jaeger / Parasitic jaeger / Arctic skua,Arctic jaeger / Parasitic jaeger / Arctic skua,Stercorarius parasiticus,Arctic jaeger / Parasitic jaeger / Arctic skua,1846,Number of territories,12,115.1780047,-0.057782975,11.76503056,0.005925447,4.50E-07,4.70E-07,191.2857143,2,Gergana,yes,World,Stercorarius parasiticus,Stercorarius parasiticus,81.8167,-68.825,179.173,-179.478,153281,150.6417,358.651,54027.79635
5,Arctic tern,Arctic tern,Sterna paradisaea,Arctic tern,9064,Number of pairs breeding in Wales,16,-28.06287272,0.014351188,26.64982349,0.013408648,0.3079743,0.300368034,484.7222222,4,Gergana,yes,World,Sterna paradisaea,Sterna paradisaea,83.05,-73.76667,178.848,-179.2198909,200270,156.81667,358.0678909,56151.01429
6,Atlantic cod / Cod,Atlantic cod / Cod,Gadus morhua,Atlantic cod / Cod,1421,Spawning stock biomass,32,52.90785366,-0.026339389,4.069358732,0.002040265,2.58E-14,3.12E-14,16370.11765,5,Gergana,yes,partWorld,Gadus morhua,Gadus morhua,78.9536,0,40,-170.25,76616,78.9536,210.25,16599.9944
7,Atlantic herring,Atlantic herring,Clupea harengus,Atlantic herring,2329,SSB tonnes,37,23.93626977,-0.011923722,5.792696326,0.00291232,0.000197249,0.000220735,139720.3846,6,Gergana,yes,partWorld,Clupea harengus,Clupea harengus,79.01308,0,69.09167,-176.57653,68827,79.01308,245.6682,19411.00114
8,Atlantic menhaden,Atlantic menhaden,Brevoortia tyrannus,Atlantic menhaden,1391,Spawning stock biomass (Thousand tonnes/millions),18,-86.40182774,0.043810746,12.51665851,0.006323115,1.87E-06,1.78E-06,41.55,7,Gergana,yes,partWorld,Brevoortia tyrannus,Brevoortia tyrannus,48.05,-35,0,-93.32414,930,83.05,93.32414,7750.569827
9,Atlantic menhaden,Atlantic menhaden,Brevoortia tyrannus,Atlantic menhaden,1399,Spawning stock biomass (Tonnes),19,20.8682598,-0.01036335,20.65434076,0.010431436,0.325018903,0.33296423,247.7619048,7,Gergana,yes,partWorld,Brevoortia tyrannus,Brevoortia tyrannus,48.05,-35,0,-93.32414,930,83.05,93.32414,7750.569827
10,Atlantic salmon,Atlantic salmon,Salmo salar,Atlantic salmon,6107,Eggs x 10^6,15,-62.34883431,0.031613047,27.53082375,0.013897395,0.038776998,0.03803344,2.091764706,9,Gergana,yes,World,Salmo salar,Salmo salar,71.199,-43.25,148.616,-170.23041,92136,114.449,318.84641,36491.65278
11,Balearic shearwater,Balearic shearwater,Puffinus mauretanicus,Balearic shearwater,6377,no. of individuals (normalised relative to 1980-2003 average),18,-45.8470247,0.023156336,12.41341872,0.006232066,0.001663131,0.001582433,0.92,10,Gergana,yes,partWorld,Puffinus mauretanicus,Puffinus mauretanicus,80.38392,0,59.43414,-31.25322,8140,80.38392,90.68736,7289.805491
12,Bar-tailed godwit,Bar-tailed godwit,Limosa lapponica,Bar-tailed godwit,1729,Index 1973=100,19,-32.17825312,0.016464266,20.37339475,0.010284351,0.130742813,0.125893975,117.6666667,13,Gergana,yes,World,Limosa lapponica,Limosa lapponica,80.38392,-52.55,179.214,-178.7167,118390,132.93392,357.9307,47581.13104
13,Bar-tailed godwit,Bar-tailed godwit,Limosa lapponica,Bar-tailed godwit,5143,Index,29,-18.77459721,0.009707351,8.857598419,0.00445101,0.042720856,0.037444124,125.3448965,13,Gergana,yes,World,Limosa lapponica,Limosa lapponica,80.38392,-52.55,179.214,-178.7167,118390,132.93392,357.9307,47581.13104
14,Barnacle goose / Greenland barnacle goose,Barnacle goose / Greenland barnacle goose,Branta leucopsis,Barnacle goose / Greenland barnacle goose,11161,Individuals,22,-72.75842078,0.036621707,6.115174139,0.003059864,4.68E-11,4.18E-11,33015.5,14,Gergana,yes,partWorld,Branta leucopsis,Branta leucopsis,80.38392,3.6917,59.43414,-157.818,320439,76.69222,217.25214,16661.54892
15,Barnacle goose / Greenland barnacle goose,Barnacle goose / Greenland barnacle goose,Branta leucopsis,Barnacle goose / Greenland barnacle goose,11162,Individuals,39,-47.27185517,0.023954683,1.908974084,0.000959267,1.83E-25,1.34E-25,15142.92683,14,Gergana,yes,partWorld,Branta leucopsis,Branta leucopsis,80.38392,3.6917,59.43414,-157.818,320439,76.69222,217.25214,16661.54892
16,Barnacle goose / Greenland barnacle goose,Barnacle goose / Greenland barnacle goose,Branta leucopsis,Barnacle goose / Greenland barnacle goose,11160,Number of individuals,7,-41.47020727,0.020978185,9.682299651,0.004858055,0.003641484,0.003487755,9109.666667,14,Gergana,yes,partWorld,Branta leucopsis,Branta leucopsis,80.38392,3.6917,59.43414,-157.818,320439,76.69222,217.25214,16661.54892
17,Black guillemot,Black guillemot,Cepphus grylle,Black guillemot,1637,breeding population index (from graphic),16,51.9382283,-0.025724769,22.46417417,0.01125361,0.034419909,0.03623438,105.5555556,16,Gergana,yes,partWorld,Cepphus grylle,Cepphus grylle,84.53333,-22.025,177.029,-179.478,168119,106.55833,356.507,37988.79055
18,Black guillemot,Black guillemot,Cepphus grylle,Black guillemot,1638,breeding population index (from graphic),12,71.70833333,-0.035714286,14.26670664,0.007144038,0.000296014,0.00030974,63.21428571,16,Gergana,yes,partWorld,Cepphus grylle,Cepphus grylle,84.53333,-22.025,177.029,-179.478,168119,106.55833,356.507,37988.79055
19,Black-legged kittiwake,Black-legged kittiwake,Rissa tridactyla,Black-legged kittiwake,1824,breeding population index (from graphic),18,74.98114035,-0.037280702,14.56744771,0.007300119,6.76E-05,7.37E-05,95.25,18,Gergana,yes,partWorld,Rissa tridactyla,Rissa tridactyla,83.31,-60.0083,179.945,-179.782,205160,143.3183,359.727,51555.4621
20,Black-legged kittiwake,Black-legged kittiwake,Rissa tridactyla,Black-legged kittiwake,1827,breeding population index (from graphic),16,96.86847224,-0.04821336,13.84306835,0.006934413,3.01E-06,3.26E-06,78.33333333,18,Gergana,yes,partWorld,Rissa tridactyla,Rissa tridactyla,83.31,-60.0083,179.945,-179.782,205160,143.3183,359.727,51555.4621
21,Black-legged kittiwake,Black-legged kittiwake,Rissa tridactyla,Black-legged kittiwake,1828,breeding population index (from graphic),18,99.70132685,-0.049712517,14.31608971,0.007174157,1.66E-06,1.78E-06,97.5,18,Gergana,yes,partWorld,Rissa tridactyla,Rissa tridactyla,83.31,-60.0083,179.945,-179.782,205160,143.3183,359.727,51555.4621
22,Black-legged kittiwake,Black-legged kittiwake,Rissa tridactyla,Black-legged kittiwake,1822,breeding population index (from graphic),18,55.39711779,-0.027568922,17.59571275,0.008817659,0.00555865,0.005830333,113,18,Gergana,yes,partWorld,Rissa tridactyla,Rissa tridactyla,83.31,-60.0083,179.945,-179.782,205160,143.3183,359.727,51555.4621
23,Black-legged kittiwake,Black-legged kittiwake,Rissa tridactyla,Black-legged kittiwake,1830,breeding population index (from graphic),18,-67.14695489,0.033909774,14.33067922,0.007181468,0.000184196,0.000170114,132,18,Gergana,yes,partWorld,Rissa tridactyla,Rissa tridactyla,83.31,-60.0083,179.945,-179.782,205160,143.3183,359.727,51555.4621
24,Black-legged kittiwake,Black-legged kittiwake,Rissa tridactyla,Black-legged kittiwake,1833,breeding population index (from graphic),18,56.2603652,-0.027873255,13.13741781,0.006583494,0.000448202,0.000499289,94.75,18,Gergana,yes,partWorld,Rissa tridactyla,Rissa tridactyla,83.31,-60.0083,179.945,-179.782,205160,143.3183,359.727,51555.4621
25,Black-legged kittiwake,Black-legged kittiwake,Rissa tridactyla,Black-legged kittiwake,5428,Breeding pairs,11,37.56840659,-0.018543956,48.021531,0.024107152,0.450536881,0.457955835,6515.384615,18,Gergana,yes,partWorld,Rissa tridactyla,Rissa tridactyla,83.31,-60.0083,179.945,-179.782,205160,143.3183,359.727,51555.4621
26,Black-legged kittiwake,Black-legged kittiwake,Rissa tridactyla,Black-legged kittiwake,1829,breeding population index (from graphic),6,82.88246097,-0.04135511,17.3262262,0.008692392,0.003051424,0.003134044,70.625,18,Gergana,yes,partWorld,Rissa tridactyla,Rissa tridactyla,83.31,-60.0083,179.945,-179.782,205160,143.3183,359.727,51555.4621
27,Black-legged kittiwake,Black-legged kittiwake,Rissa tridactyla,Black-legged kittiwake,6055,Breeding individuals,13,36.47517361,-0.018229167,42.49392813,0.021494095,0.406240991,0.411725432,155.9333333,18,Gergana,yes,partWorld,Rissa tridactyla,Rissa tridactyla,83.31,-60.0083,179.945,-179.782,205160,143.3183,359.727,51555.4621
28,Black-tailed godwit,Black-tailed godwit,Limosa limosa,Black-tailed godwit,1734,Index 1973=100,19,-62.47609445,0.031730815,10.39917061,0.005249431,8.83E-06,8.17E-06,102.7142857,19,Gergana,yes,partWorld,Limosa limosa,Limosa limosa,88.0083,-43.7299,176.445,-176.597,100028,131.7382,353.042,46509.1176
29,Black-tailed godwit,Black-tailed godwit,Limosa limosa,Black-tailed godwit,5144,Index,29,-55.36767492,0.027947165,4.498014761,0.002260286,4.87E-13,4.37E-13,209.3521916,19,Gergana,yes,partWorld,Limosa limosa,Limosa limosa,88.0083,-43.7299,176.445,-176.597,100028,131.7382,353.042,46509.1176
30,Bottlenose dolphin,Bottlenose dolphin,Tursiops truncatus,Bottlenose dolphin,10741,Average dolphin count per 15 mins,9,-54.1253866,0.027333077,47.62890406,0.023801421,0.285142573,0.280417606,0.705636364,22,Gergana,yes,partWorld,Tursiops truncatus,Tursiops truncatus,69.26183,-62.64999,178,-178.18333,22409,131.91182,356.18333,46984.79131
31,Bottlenose dolphin,Bottlenose dolphin,Tursiops truncatus,Bottlenose dolphin,10742,Average dolphin count per 15 mins,8,-93.92437268,0.047139055,37.84713221,0.018914067,0.038012136,0.037389432,0.35725,22,Gergana,yes,partWorld,Tursiops truncatus,Tursiops truncatus,69.26183,-62.64999,178,-178.18333,22409,131.91182,356.18333,46984.79131
32,Brown long-eared bat,Brown long-eared bat,Plecotus auritus,Brown long-eared bat,7743,Index 1999=100,13,-24.75413985,0.012580438,39.42918495,0.019675196,0.540998631,0.533664615,97.54666667,23,Gergana,yes,partWorld,Plecotus auritus,Plecotus auritus,66.87726,0,143.46667,-10.43839,26007,66.87726,153.90506,10292.74871
33,Brown trout / Sea trout,Brown trout / Sea trout,Salmo trutta,Brown trout / Sea trout,1135,Eggs per 60 mÎ_,19,16.62487469,-0.008159604,23.22816354,0.011731341,0.482867915,0.495137719,3963.333333,24,Gergana,yes,partWorld,Salmo trutta,Salmo trutta,71.12205,-54.9417,176.52515,-159.53247,216559,126.06375,336.05762,42364.68379
34,Bullfinch / Eurasian bullfinch,Bullfinch / Eurasian bullfinch,Pyrrhula pyrrhula,Bullfinch / Eurasian bullfinch,438,Index,33,58.56553561,-0.029299295,4.947498649,0.002489902,2.02E-13,2.37E-13,140.9142857,25,Gergana,yes,partWorld,Pyrrhula pyrrhula,Pyrrhula pyrrhula,80.38392,0,174.1105,-171.721,679910,80.38392,345.8315,27799.29163
35,Canada goose,Canada goose,Branta canadensis,Canada goose,293,Index of abundance,29,-60.68191182,0.030789797,3.125610635,0.001574599,3.67E-18,3.02E-18,55.09677419,26,Gergana,yes,partWorld,Branta canadensis,Branta canadensis,81.8833,-88.9917,177.858,-175.92628,3468260,170.875,353.78428,60452.88885
36,Cirl bunting,Cirl bunting,Emberiza cirlus,Cirl bunting,345,Number of breeding pairs,17,-45.36916142,0.023003186,20.74418541,0.01042222,0.043002931,0.041340464,222.1052632,31,Gergana,yes,partWorld,Emberiza cirlus,Emberiza cirlus,80.38392,-45.9848,175.017,-105.4838,28870,126.36872,280.5008,35446.52705
37,Common buzzard,Common buzzard,Buteo buteo,Common buzzard,304,Index,33,-58.56203271,0.029653837,4.498764494,0.00226407,1.50E-14,1.27E-14,48.17142857,34,Hannah,Yes,partWorld,Buteo buteo,Buteo buteo,80.38392,-34.8324,145.811,-99,417848,115.21632,244.811,28206.22252
38,Common kestrel,Common kestrel,Falco tinnunculus,Common kestrel,353,Index,33,47.33160418,-0.023620987,7.39154907,0.003719906,2.96E-07,3.46E-07,109.6285714,38,Hannah,Yes,World,Falco tinnunculus,Falco tinnunculus,80.38392,-34.8324,174.08333,-176.644,622861,115.21632,350.72733,40409.51229
39,Common murre / Common guillemot,Common murre / Common guillemot,Uria aalge,Common murre / Common guillemot,1911,breeding population index (from graphic),17,-103.2035088,0.051929825,7.59449255,0.003806749,1.47E-10,1.38E-10,149.4736842,41,Hannah,Yes,World,Uria aalge,Uria aalge,81.61,-18.3417,179.589,-179.478,308405,99.9517,359.067,35889.35706
40,Common murre / Common guillemot,Common murre / Common guillemot,Uria aalge,Common murre / Common guillemot,1914,breeding population index (from graphic),18,-6.931077694,0.003822055,18.68662714,0.009364344,0.715033019,0.687977835,116.75,41,Hannah,Yes,World,Uria aalge,Uria aalge,81.61,-18.3417,179.589,-179.478,308405,99.9517,359.067,35889.35706
41,Common murre / Common guillemot,Common murre / Common guillemot,Uria aalge,Common murre / Common guillemot,1915,breeding population index (from graphic),6,-59.68341905,0.030076029,32.01848401,0.016063386,0.111598568,0.110321225,121.25,41,Hannah,Yes,World,Uria aalge,Uria aalge,81.61,-18.3417,179.589,-179.478,308405,99.9517,359.067,35889.35706
42,Common murre / Common guillemot,Common murre / Common guillemot,Uria aalge,Common murre / Common guillemot,1917,breeding population index (from graphic),18,-78.62293233,0.039614662,14.11832587,0.007075052,2.76E-05,2.59E-05,124.25,41,Hannah,Yes,World,Uria aalge,Uria aalge,81.61,-18.3417,179.589,-179.478,308405,99.9517,359.067,35889.35706
43,Common murre / Common guillemot,Common murre / Common guillemot,Uria aalge,Common murre / Common guillemot,1913,breeding population index (from graphic),16,-91.83746787,0.046234216,15.92890981,0.007983047,2.90E-05,2.75E-05,124.4444444,41,Hannah,Yes,World,Uria aalge,Uria aalge,81.61,-18.3417,179.589,-179.478,308405,99.9517,359.067,35889.35706
44,Common murre / Common guillemot,Common murre / Common guillemot,Uria aalge,Common murre / Common guillemot,1920,breeding population index (from graphic),16,-71.3717628,0.035919947,14.3003424,0.007166862,0.000133289,0.000127753,166.1111111,41,Hannah,Yes,World,Uria aalge,Uria aalge,81.61,-18.3417,179.589,-179.478,308405,99.9517,359.067,35889.35706
45,Common murre / Common guillemot,Common murre / Common guillemot,Uria aalge,Common murre / Common guillemot,1924,breeding population index (from graphic),18,-99.86559255,0.050232725,7.190849293,0.003603518,4.64E-11,4.37E-11,178.5,41,Hannah,Yes,World,Uria aalge,Uria aalge,81.61,-18.3417,179.589,-179.478,308405,99.9517,359.067,35889.35706
46,Common murre / Common guillemot,Common murre / Common guillemot,Uria aalge,Common murre / Common guillemot,5427,Breeding pairs,11,-129.4144918,0.065161401,33.36867727,0.016751314,0.002570785,0.002519898,13576.92308,41,Hannah,Yes,World,Uria aalge,Uria aalge,81.61,-18.3417,179.589,-179.478,308405,99.9517,359.067,35889.35706
47,Common murre / Common guillemot,Common murre / Common guillemot,Uria aalge,Common murre / Common guillemot,8542,Population estimate,18,-115.3949906,0.058077664,8.391362434,0.004207234,5.47E-11,5.13E-11,9564.15,41,Hannah,Yes,World,Uria aalge,Uria aalge,81.61,-18.3417,179.589,-179.478,308405,99.9517,359.067,35889.35706
48,Common murre / Common guillemot,Common murre / Common guillemot,Uria aalge,Common murre / Common guillemot,1918,breeding population index (from graphic),18,56.18390977,-0.027819549,18.66594459,0.00935398,0.00752055,0.00813054,83.5,41,Hannah,Yes,World,Uria aalge,Uria aalge,81.61,-18.3417,179.589,-179.478,308405,99.9517,359.067,35889.35706
49,Common pipistrelle,Common pipistrelle,Pipistrellus pipistrellus,Common pipistrelle,7736,Index 1999 = 100,12,-155.0720658,0.07768084,11.50546276,0.005739805,1.31E-08,1.25E-08,138.3857143,42,Hannah,Yes,Europe,Pipistrellus pipistrellus,Pipistrellus pipistrellus,62.95126,-6.96667,120.45,-99,128162,69.91793,219.45,15343.48974
50,Common pochard / European pochard,Common pochard / European pochard,Aythya ferina,Common pochard / European pochard,5148,Index,29,36.37372755,-0.018079513,5.686520813,0.002858956,5.40E-07,6.58E-07,128.8067742,43,Hannah,Yes,partWorld,Aythya ferina,Aythya ferina,80.38392,3.6583,175.93333,-176.655,280577,76.72562,352.58833,27052.55822
51,Common pochard / European pochard,Common pochard / European pochard,Aythya ferina,Common pochard / European pochard,1234,Index,14,100.6948529,-0.050735294,22.11569037,0.011183631,0.000451025,0.000465483,122.1875,43,Hannah,Yes,partWorld,Aythya ferina,Aythya ferina,80.38392,3.6583,175.93333,-176.655,280577,76.72562,352.58833,27052.55822
52,Common raven / Raven,Common raven / Raven,Corvus corax,Common raven / Raven,10977,Index,15,-58.31782607,0.029349248,29.96538539,0.01496768,0.070615175,0.068737694,120.0144176,44,Hannah,Yes,World,Corvus corax,Corvus corax,81.8167,0,179.20143,-176.7659,1681601,81.8167,355.96733,29124.07225
53,Common ringed plover / Ringed plover,Common ringed plover / Ringed plover,Charadrius hiaticula,Common ringed plover / Ringed plover,5986,Index 1973 = 100,19,-32.19342347,0.016482832,17.96112305,0.009066653,0.089008316,0.084873245,102.1095238,45,Hannah,Yes,World,Charadrius hiaticula,Charadrius hiaticula,83.033,-70.0416,179.3,-174.43042,384038,153.0746,353.73042,54147.14255
54,Common tern,Common tern,Sterna hirundo,Common tern,9063,Number of pairs breeding in Wales,17,-23.74426336,0.012174055,26.7257984,0.013446343,0.386702663,0.377917156,480.5263158,49,Hannah,Yes,World,Sterna hirundo,Sterna hirundo,84.575,-70.0583,178.784,-176.58333,593489,154.6333,355.36733,54951.62295
55,Corn bunting,Corn bunting,Miliaria calandra,Corn bunting,383,Index,33,67.36505836,-0.033725555,4.3900996,0.002209382,1.40E-16,1.63E-16,425.5142857,52,Hannah,Yes,partWorld,Miliaria calandra,Emberiza calandra,59.42522,0,44.02541,-10.15633,9376,59.42522,54.18174,3219.761819
56,Corncrake,Corncrake,Crex crex,Corncrake,337,Number of breeding pairs,9,38.14736739,-0.018870255,25.73897335,0.012918137,0.172460988,0.178094618,621.8181818,53,Hannah,Yes,partWorld,Crex crex,Crex crex,80.38392,-41.93,151.25,-76.533,160942,122.31392,227.783,27861.03164
57,Daubenton's bat,Daubenton's bat,Myotis daubentonii,Daubenton's bat,7735,Index 1999=100,13,-111.2001058,0.055793651,26.37425207,0.013160774,0.001008589,0.000966065,102.3466667,54,Hannah,Yes,Europe,Myotis daubentonii,Myotis daubentoni,62.09321,35.87028,147.7687112,-3.44062,1536,26.22293,151.2093312,3965.151709
58,Dragonet,Dragonet,Callionymus lyra,Dragonet,4925,Average catch - individualas per one hour fishing,20,25.34107543,-0.012700189,14.43307764,0.007282367,0.094433487,0.096516865,5.431818182,55,Hannah,Yes,partWorld,Callionymus lyra,Callionymus lyra,71.183,0,27.5,-25,5896,71.183,52.5,3737.1075
59,Dunlin,Dunlin,Calidris alpina,Dunlin,5979,Index 1973 = 100,19,44.5609082,-0.022267976,20.54855215,0.010372769,0.043015688,0.044933489,88.18095238,56,Hannah,Yes,World,Calidris alpina,Calidris alpina,85.7583,-51.6858,179.2,-179.478,703283,137.4441,358.678,49298.1749
60,Eurasian curlew,Eurasian curlew,Numenius arquata,Eurasian curlew,6028,Index 1973 = 100,19,-46.24712586,0.023599004,19.71808414,0.009953555,0.030014287,0.02847325,111.7095238,58,Hannah,Yes,partWorld,Numenius arquata,Numenius arquata,80.38392,-36.3217,145.237,-124.15296,517980,116.70562,269.38996,31439.3223
61,Eurasian golden plover,Eurasian golden plover,Pluvialis apricaria,Eurasian golden plover,12571,Abundance index,28,-52.43800232,0.026568871,6.463698573,0.003257061,7.83E-09,7.02E-09,731.7,59,Hannah,Yes,partWorld,Pluvialis apricaria,Pluvialis apricaria,80.38392,-38.63,145.73,-155.08348,312879,119.01392,300.81348,35800.99144
62,Eurasian golden-oriole / Golden oriole,Eurasian golden-oriole / Golden oriole,Oriolus oriolus,Eurasian golden-oriole / Golden oriole,5137,Maximum number of pairs,30,-3.539752913,0.002026036,10.72540803,0.00539366,0.743667645,0.709832856,23.09375,60,Hannah,Yes,partWorld,Oriolus oriolus,Oriolus oriolus,80.38392,-34.625,112.148,-83.14313,56992,115.00892,195.29113,22460.22195
63,Eurasian oystercatcher,Eurasian oystercatcher,Haematopus ostralegus,Eurasian oystercatcher,6016,Index 1973 = 100,19,-85.21231681,0.04328943,8.912999486,0.004499222,1.08E-08,9.76E-09,130.6095238,63,Hannah,Yes,World,Haematopus ostralegus,Haematopus ostralegus,80.38392,-45.63458,175.31667,-163.125,501590,126.0185,338.44167,42649.91159
64,Eurasian skylark,Eurasian skylark,Alauda arvensis,Eurasian skylark,270,Index,33,67.49569001,-0.033774043,4.542709692,0.002286186,3.55E-16,4.19E-16,162,66,John,Yes,partWorld,Alauda arvensis,Alauda arvensis,80.38392,-50.4946,178.546,-176.827,600489,130.87852,355.373,46510.69229
65,Eurasian sparrowhawk / Northern sparrowhawk,Eurasian sparrowhawk / Northern sparrowhawk,Accipiter nisus,Eurasian sparrowhawk / Northern sparrowhawk,267,Index,29,-68.32299591,0.034671401,4.420590562,0.002222497,1.55E-15,1.22E-15,78.77419355,67,John,Yes,partWorld,Accipiter nisus,Accipiter nisus,88.425,-16.9583,150.8,-115.77403,404606,105.3833,266.57403,28092.45098
66,Eurasian thick-knee / Stone curlew,Eurasian thick-knee / Stone curlew,Burhinus oedicnemus,Eurasian thick-knee / Stone curlew,303,Number of breeding birds,10,31.58953581,-0.015726291,21.11904782,0.010599189,0.165584972,0.16870115,203.3333333,68,John,Yes,partWorld,Burhinus oedicnemus,Burhinus oedicnemus,88.425,-16.6417,106.66666,-117.15082,21643,105.0667,223.81748,23515.76403
67,Eurasian wigeon,Eurasian wigeon,Mareca penelope,Eurasian wigeon,12536,Population index,20,-51.25669747,0.026072343,15.26899688,0.007709628,0.003137874,0.002963166,108.0181818,70,John,Yes,World,Mareca penelope,Anas penelope,88.425,-24.8596,179,-177.383,704175,113.2846,356.383,40372.7056
68,European rabbit,European rabbit,Oryctolagus cuniculus,European rabbit,5865,Mean percentage of sections with rabbit signs,7,-135.9988636,0.068939394,47.64073248,0.024089327,0.024523722,0.024274202,23.44444444,76,John,Yes,World,Oryctolagus cuniculus,Oryctolagus cuniculus,65.3483,-54.61872822,177.26533,-171.728,80149,119.9670282,348.99333,41867.69267
69,European rabbit,European rabbit,Oryctolagus cuniculus,European rabbit,5866,Mean percentage of sections with rabbit signs,7,-178.2115152,0.09030303,30.38366707,0.015363367,0.000620845,0.000613071,26.44444444,76,John,Yes,World,Oryctolagus cuniculus,Oryctolagus cuniculus,65.3483,-54.61872822,177.26533,-171.728,80149,119.9670282,348.99333,41867.69267
70,European rabbit,European rabbit,Oryctolagus cuniculus,European rabbit,5867,Mean percentage of sections with rabbit signs,6,-192.5872798,0.097586432,37.45111717,0.018936191,0.002131088,0.002108179,40.5,76,John,Yes,World,Oryctolagus cuniculus,Oryctolagus cuniculus,65.3483,-54.61872822,177.26533,-171.728,80149,119.9670282,348.99333,41867.69267
71,European rabbit,European rabbit,Oryctolagus cuniculus,European rabbit,5869,Mean percentage of sections with rabbit signs,7,-119.5151515,0.060606061,51.69776651,0.026140748,0.054042904,0.053516359,23.55555556,76,John,Yes,World,Oryctolagus cuniculus,Oryctolagus cuniculus,65.3483,-54.61872822,177.26533,-171.728,80149,119.9670282,348.99333,41867.69267
72,European rabbit,European rabbit,Oryctolagus cuniculus,European rabbit,5870,Mean percentage of sections with rabbit signs,6,-169.3215205,0.085847953,38.450585,0.019440318,0.004550593,0.004490361,32.5,76,John,Yes,World,Oryctolagus cuniculus,Oryctolagus cuniculus,65.3483,-54.61872822,177.26533,-171.728,80149,119.9670282,348.99333,41867.69267
73,European rabbit,European rabbit,Oryctolagus cuniculus,European rabbit,5868,Mean percentage of sections with rabbit signs,7,-166.802635,0.08458498,23.93693372,0.012103605,0.000217586,0.000213746,42,76,John,Yes,World,Oryctolagus cuniculus,Oryctolagus cuniculus,65.3483,-54.61872822,177.26533,-171.728,80149,119.9670282,348.99333,41867.69267
74,European roe deer,European roe deer,Capreolus capreolus,European roe deer,11499,Estimated deer number,18,-80.70598957,0.040982042,10.46714054,0.005285078,4.13E-07,3.81E-07,1541.527,77,John,Yes,Europe,Capreolus capreolus,Capreolus capreolus,70.46655,-51.62,117.71434,-116.03133,94217,122.08655,233.74567,28537.20243
75,European shag,European shag,Phalacrocorax aristotelis,European shag,1766,breeding population index (from graphic),18,25.4443609,-0.012531328,23.38838924,0.011720517,0.290989712,0.299118181,116,78,John,Yes,partWorld,Phalacrocorax aristotelis,Phalacrocorax aristotelis,81.61,-4.0083,175.55,-177.25,75084,85.6183,352.8,30206.13624
76,European shag,European shag,Phalacrocorax aristotelis,European shag,1769,breeding population index (from graphic),18,76.82368421,-0.038277512,21.11442746,0.010580977,0.001879354,0.001968683,73.5,78,John,Yes,partWorld,Phalacrocorax aristotelis,Phalacrocorax aristotelis,81.61,-4.0083,175.55,-177.25,75084,85.6183,352.8,30206.13624
77,European shag,European shag,Phalacrocorax aristotelis,European shag,1770,breeding population index (from graphic),18,77.42763158,-0.038596491,12.8204906,0.006424674,1.04E-05,1.11E-05,64.5,78,John,Yes,partWorld,Phalacrocorax aristotelis,Phalacrocorax aristotelis,81.61,-4.0083,175.55,-177.25,75084,85.6183,352.8,30206.13624
78,European shag,European shag,Phalacrocorax aristotelis,European shag,5429,Breeding pairs,11,150.3831502,-0.075274725,32.06236745,0.016095538,0.000660403,0.000675112,1053.846154,78,John,Yes,partWorld,Phalacrocorax aristotelis,Phalacrocorax aristotelis,81.61,-4.0083,175.55,-177.25,75084,85.6183,352.8,30206.13624
79,European shag,European shag,Phalacrocorax aristotelis,European shag,1768,breeding population index (from graphic),18,58.69794486,-0.029223058,14.79126261,0.007412278,0.000901033,0.000954553,185,78,John,Yes,partWorld,Phalacrocorax aristotelis,Phalacrocorax aristotelis,81.61,-4.0083,175.55,-177.25,75084,85.6183,352.8,30206.13624
80,European shag,European shag,Phalacrocorax aristotelis,European shag,9105,Nest count,32,22.06125888,-0.010871125,9.455491255,0.00475264,0.026085199,0.028929516,964.7058824,78,John,Yes,partWorld,Phalacrocorax aristotelis,Phalacrocorax aristotelis,81.61,-4.0083,175.55,-177.25,75084,85.6183,352.8,30206.13624
