,GBIF.common.name,LPI.common.name,species,Common.Name,id,Units,n,intercept,slope,intercept_SE,slope_SE,intercept_p,slope_p,meanpop,row,downloader,data.available,geographic.range,species.LPI,species.GBIF,maxlat,minlat,maxlong,minlong,countoccur,lengthlat,lengthlong,range
132,Grey seal,Grey seal,Halichoerus grypus,Grey seal,1959,Pup production estimates for islands in the Outer Hebrides group,26,50.41544698,-0.02527005,8.799809324,0.004428965,4.96E-06,5.28E-06,22.82142857,105,Claudia,Yes,UK,Halichoerus grypus,Halichoerus grypus,74.64909,32.5592,31.16715,-80.2925,65042,42.08989,111.45965,4691.324408
133,Grey seal,Grey seal,Halichoerus grypus,Grey seal,1956,Pup production estimates for islands in the Outer Hebrides group,26,-76.44044006,0.038723958,4.139323718,0.002083331,1.81E-16,1.55E-16,3314.25,105,Claudia,Yes,UK,Halichoerus grypus,Halichoerus grypus,74.64909,32.5592,31.16715,-80.2925,65042,42.08989,111.45965,4691.324408
134,Grey seal,Grey seal,Halichoerus grypus,Grey seal,1961,Pup production estimates for islands in the Inner Hebrides group,16,-91.11241026,0.046049529,20.65641246,0.010367048,0.000437278,0.000409996,353.6111111,105,Claudia,Yes,UK,Halichoerus grypus,Halichoerus grypus,74.64909,32.5592,31.16715,-80.2925,65042,42.08989,111.45965,4691.324408
135,Grey seal,Grey seal,Halichoerus grypus,Grey seal,1962,Pup production estimates for islands in the Inner Hebrides group,16,-85.11314961,0.042999656,13.09440679,0.006571826,7.32E-06,6.77E-06,416.7222222,105,Claudia,Yes,UK,Halichoerus grypus,Halichoerus grypus,74.64909,32.5592,31.16715,-80.2925,65042,42.08989,111.45965,4691.324408
136,Grey seal,Grey seal,Halichoerus grypus,Grey seal,1963,Pup production estimates for islands in the Orkney group,28,-52.99823508,0.026929641,3.481351857,0.001752898,4.51E-15,3.58E-15,900.3333333,105,Claudia,Yes,UK,Halichoerus grypus,Halichoerus grypus,74.64909,32.5592,31.16715,-80.2925,65042,42.08989,111.45965,4691.324408
137,Grey seal,Grey seal,Halichoerus grypus,Grey seal,1960,Pup production estimates.,22,-56.81580283,0.028734639,7.392796611,0.003718515,1.14E-07,1.04E-07,197.2083333,105,Claudia,Yes,UK,Halichoerus grypus,Halichoerus grypus,74.64909,32.5592,31.16715,-80.2925,65042,42.08989,111.45965,4691.324408
138,Grey seal,Grey seal,Halichoerus grypus,Grey seal,1965,Pup production estimates.,30,34.29591283,-0.017111048,8.140955116,0.00410016,0.000212141,0.0002367,1184.59375,105,Claudia,Yes,UK,Halichoerus grypus,Halichoerus grypus,74.64909,32.5592,31.16715,-80.2925,65042,42.08989,111.45965,4691.324408
139,Grey seal,Grey seal,Halichoerus grypus,Grey seal,1967,Pup production estimates for islands in the Inner Hebrides group,16,-96.83612715,0.048914018,16.5519929,0.00830712,2.46E-05,2.29E-05,270.8888889,105,Claudia,Yes,UK,Halichoerus grypus,Halichoerus grypus,74.64909,32.5592,31.16715,-80.2925,65042,42.08989,111.45965,4691.324408
140,Grey seal,Grey seal,Halichoerus grypus,Grey seal,1968,Pup production estimates for islands in the Outer Hebrides group,26,-2.991840468,0.001726292,9.699551111,0.004881807,0.760196716,0.726477031,1351.642857,105,Claudia,Yes,UK,Halichoerus grypus,Halichoerus grypus,74.64909,32.5592,31.16715,-80.2925,65042,42.08989,111.45965,4691.324408
141,Grey seal,Grey seal,Halichoerus grypus,Grey seal,1969,Pup production estimates for islands in the Orkney group,28,8.875223452,-0.004240804,11.5189736,0.005799928,0.44746363,0.470743054,58.13333333,105,Claudia,Yes,UK,Halichoerus grypus,Halichoerus grypus,74.64909,32.5592,31.16715,-80.2925,65042,42.08989,111.45965,4691.324408
